"","ARID1A_mut","CHD6_mut","CHD7_mut","CREBBP_mut","EP300_mut","KDM6A_mut","CHD6_amp","CHD7_amp","PRDM9_amp","CHD3_del","CREBBP_del","HDAC4_del","PHF23_del","CHD6_ampmut","CHD7_ampmut","CREBBP_delmut","EP300CREBBP_mut","EP300CREBBP_delmut"
"C9orf156",-0.158809535841033,-0.181200309130699,-0.0182117842120719,0.157993244215019,0.169752614165098,-0.208743260735207,-0.239216734614405,-0.179919508698453,0.073447870945354,-0.20500916826244,-0.137096178589059,-0.184934224916966,-0.202825853192601,-0.252961707441788,-0.186030034584615,-0.0403327572175551,0.171376893151667,0.11728237788931
"SIAH1",0.0856466602187874,0.175539803757839,0.115788493539105,0.0412377454661361,-0.0728404227613202,0.177396955550271,0.191915638557376,0.212082988941899,0.125546888886455,0.218550774929317,0.210335029405934,0.195232220832681,0.222041393406272,0.199309085113774,0.251119574001783,0.211096194844217,-0.036386640945824,0.064196389164029
"CXCL5",-0.1303318632857,-0.113181938767739,0.339070828439842,0.485118994020447,0.586903874669066,-0.553862884836528,-0.547106853965817,-0.471453020661091,0.174696577917677,-0.542096862930679,-0.360115370706618,-0.487637949374774,-0.534830326130914,-0.511472691925299,-0.380412089819448,-0.0495991232960166,0.570425966090251,0.468849952872624
"SCG5",-0.172759995066913,-0.1015973873014,-0.00571757511208108,0.303001797608442,0.238811415785384,-0.375515350346359,-0.381819524635575,-0.343648703421463,-0.172084522580711,-0.440755073287793,-0.310529525904184,-0.411261149359812,-0.444569558117667,-0.367256139944188,-0.34617867740261,-0.0715590922695769,0.2865247214449,0.173827711581199
"SULT1C2",0.0469051910516253,-0.0837448244830359,-0.363214420425152,-0.39191408808675,-0.367633342287492,0.24072098049136,0.257422519019291,0.185760374778012,-0.128681043753149,0.244452626418656,0.0747749856115565,0.21997459470052,0.230042802825691,0.22132520367584,0.0799368440130121,-0.166274304093664,-0.394767886772679,-0.404541712147423
"MSR1",-0.186489419482372,-0.0917356303520549,0.275360784996913,0.499347673445185,0.606517929615873,-0.748793142867643,-0.782002607185981,-0.733265403263965,-0.201039022626826,-0.811731170784817,-0.656940722739659,-0.749351648891416,-0.81095233669662,-0.7274626652593,-0.678560789520088,-0.344094660145286,0.613186078093312,0.341600200150466
"CTSK",-0.0841987143583577,-0.0923669312134723,0.079572178378449,0.281399576164426,0.364723338979056,-0.639580390766929,-0.671907482708576,-0.646188465834662,-0.37629330100206,-0.740465554790307,-0.657769559107111,-0.698614177112667,-0.746851181555626,-0.63057344310041,-0.656159945099971,-0.452651375274703,0.384329533042319,0.0974669870110687
"PTGDS",0.0163088706163638,0.0632398084577,-0.0990902058786425,0.0886846078849531,0.141545498010333,-0.426774047297562,-0.467931400406591,-0.423037304527309,-0.546510954032887,-0.563523036915817,-0.472642215846588,-0.490759472781621,-0.569975981237307,-0.423667191896733,-0.482042290973688,-0.39580797145877,0.155417155057598,-0.0759186549492892
"COLEC12",-0.0813606910597998,-0.104275517518092,0.0905209146689424,0.375433737767276,0.385424476302298,-0.663919427065732,-0.661973136848515,-0.628665875081668,-0.376426627593035,-0.733962905639644,-0.599692733330104,-0.672683872899325,-0.738628931258216,-0.624376456752643,-0.625345317213458,-0.343451624802492,0.427843284545625,0.154487525866353
"GPC4",-0.0428199730659101,-0.159288179567196,-0.0848863782129998,0.217087280656963,0.170777572546593,-0.339126235789547,-0.259175948302944,-0.231952092515878,-0.086694234472172,-0.283748093110958,-0.210198450742101,-0.246824678580755,-0.291051959612293,-0.258853848815017,-0.255621015940303,-0.0768512062917356,0.197338677275395,0.0946506042148211
"PCOLCE2",-0.19180330591591,0.0343736179781354,0.188529918284369,0.535228251934116,0.420426281593674,-0.543815759507364,-0.494829526411147,-0.39555620380022,0.00636637806059854,-0.538480437152045,-0.28850875120824,-0.474491994587624,-0.533741344336176,-0.455741463422967,-0.333606991708335,0.0372231340242139,0.495696263410933,0.393470062987568
