"","GSE13507_surv.p","GSE13507_coxph.p","GSE13507_surv.p_BH","GSE13507_coxph.p_BH","GSE13507_HR","GSE32894_surv.p","GSE32894_coxph.p","GSE32894_survreg.pval_BH","GSE32894_coxph.qval_BH","GSE32894_HR"
"uni.noj__EP300CREBBP_delmut",0.00632821267899817,0.00167142876288866,0.0189846380369945,0.00501428628866598,1.77592320378962,0.000127559711120572,9.40492795714348e-07,0.000669688483383005,5.64295677428609e-06,2.10478465229689
"uni.noj__TP53_delmut",0.00139507639520664,0.000217093264138796,0.0065103565109643,0.00151965284897157,2.00449548486747,0.000183298245500013,4.07506391731509e-06,0.000769852631100056,1.71152684527234e-05,2.35899910636707
"uni.adj__ARID1A_mut",0.496526354446652,0.575368940735026,0.548792286493668,0.604137387771778,0.901202686575954,0.317429035385542,0.353085480208829,0.341846653492122,0.380245901763354,0.817372755397905
"uni.adj__CHD6_mut",0.655542383413895,0.698586915866119,0.676242862109899,0.715625621131146,0.931033333932936,0.00443260038292102,0.00168781967780372,0.00641962814078217,0.00244442849888815,0.591285319432989
"uni.adj__CHD7_mut",0.236419738531825,0.176495040488489,0.300897849040504,0.231649740641142,1.26028215668673,0.0818739871899007,0.0640674930962918,0.0929380395128603,0.0727252624336286,1.40709001867319
"uni.adj__CREBBP_mut",0.0122818577011852,0.00964734561740676,0.0234471828840809,0.0225104731072824,1.48159085407013,2.32713774510395e-05,5.63959293566366e-08,0.000488698926471831,1.18431451648937e-06,2.72258879682493
"uni.adj__EP300_mut",0.00133420707153312,0.000286724797753065,0.0065103565109643,0.00172034878651839,1.96652942679715,0.000702265684243943,6.94005046847078e-05,0.00140453136848789,0.000138801009369416,1.67343813168624
"uni.adj__KDM6A_mut",0.000915024479525156,0.00103507864793509,0.00555559804934033,0.00370423644421486,0.600648670193914,0.000363524758190828,1.64172488746678e-05,0.00117446460338575,5.30403425181575e-05,0.507985682557923
"uni.adj__TP53_mut",0.000405622798474572,4.50497767083897e-05,0.00555559804934033,0.000867766922667679,2.20506385547472,0.000152729199161814,1.94777191720456e-06,0.000712736262755133,9.5713467158182e-06,2.41308820869989
"uni.adj__CHD6_amp",0.0211801110421317,0.0377483714126213,0.0370651943237306,0.0621730847200867,0.69620339357408,0.00160661112550923,0.000313399432817161,0.002754851579211,0.000533546893152393,0.505544377502382
"uni.adj__CHD7_amp",0.0293948285040444,0.0502639271101589,0.0457252887840691,0.0781883310602472,0.71557365973803,0.00411507742893338,0.00125002189963465,0.00617261614340007,0.00187503284945197,0.530487806646451
"uni.adj__PRDM9_amp",0.000702167838409066,0.000104805390517853,0.00555559804934033,0.000880365280349962,2.18991859296281,0.000101337042481862,6.44062073738842e-07,0.000669688483383005,5.41012141940628e-06,2.29168276690896
"uni.adj__CHD3_del",0.0153262484677718,0.0227013587799294,0.0279870624194093,0.0414546551633493,0.642887556775907,0.000661501235503899,5.59306493446614e-05,0.00138915259455819,0.000117454363623789,0.427910933022586
"uni.adj__CREBBP_del",0.660141841583473,0.502648734761509,0.676242862109899,0.541314022050856,1.12851936317199,0.890401179450467,0.87124813238443,0.912118281388283,0.89249808683283,0.967687222310909
"uni.adj__HDAC4_del",0.180541381402655,0.278287885397847,0.236960563090985,0.354184581415441,0.819370732229599,0.00535062701552602,0.00217870762876325,0.00749087782173643,0.00305019068026855,0.587468221688725
"uni.adj__PHF23_del",0.0247237063159987,0.0384881000648156,0.0399382948181518,0.0621730847200867,0.672284450581238,0.000861284480710429,9.42006930950351e-05,0.00157278035607991,0.000179280222915942,0.434368469988885
"uni.adj__TP53_del",0.0110101670666161,0.0157625964780863,0.0230664056367719,0.0331014526039812,0.623899980842361,0.000432981814142584,2.52591164540243e-05,0.00122090697388929,7.47138144072181e-05,0.411022049048828
"uni.adj__CHD6_ampmut",0.0243621354686661,0.0364250041645106,0.0399382948181518,0.0621730847200867,0.6973557779768,0.00163979260667322,0.000317587436400234,0.002754851579211,0.000533546893152393,0.548511025343291
"uni.adj__CHD7_ampmut",0.312437757520391,0.436843125538508,0.364510717107122,0.495875980341009,0.864078602772854,0.0263954117669507,0.0197351144971717,0.0316744941203408,0.0240306640635341,0.606114667676261
"uni.adj__CREBBP_delmut",0.0777403047862902,0.0524662727451241,0.112589406931869,0.0786994091176861,1.37318549175468,0.000442208259322239,3.57171926022334e-05,0.00122090697388929,8.3340116071878e-05,2.29582816106397
"uni.adj__EP300CREBBP_mut",0.000707679057849029,8.26444688254933e-05,0.00555559804934033,0.000867766922667679,1.78681379871424,0.000123152240705682,2.05100286767533e-06,0.000669688483383005,9.5713467158182e-06,1.83624170525445
"uni.adj__EP300CREBBP_delmut",0.00705623547206676,0.0018016686954792,0.0191195208095033,0.00504467234734176,1.66225429299675,8.17003475828143e-05,4.49249529749331e-07,0.000669688483383005,5.41012141940628e-06,2.17876818051482
"uni.adj__TP53_delmut",0.00279604289950095,0.000534268509974839,0.00978615014825332,0.00224392774189432,1.89934697539769,0.000561044077320304,3.91349424504115e-05,0.00124020269723436,8.65088201535413e-05,2.07604073222563
